source,target,weight
itu/M.3400/2000_02_0_en..pdf,itu/M.3400/2000_02_0_en..pdf,5
itu/M.3400/2000_02_0_en..pdf,itu/M.3010/2000_02_0_en..pdf,6
itu/M.3400/2000_02_0_en..pdf,itu/M.3020/2000_02_1_en..pdf,4
itu/M.3400/2000_02_0_en..pdf,itu/M.3000/2000_02_0_en..pdf,1
itu/M.3400/2000_02_0_en..pdf,itu/M.3010/1996_05_1_en..pdf,1
itu/M.3400/2000_02_0_en..pdf,itu/M.3100/1995_07_1_en..pdf,1
itu/M.3400/2000_02_0_en..pdf,itu/M.3180/1992_10_0_en..pdf,1
itu/M.3400/2000_02_0_en..pdf,itu/M.3200/1997_04_0_en..pdf,2
itu/M.3400/2000_02_0_en..pdf,itu/M.20/1992_10_0_en..pdf,4
itu/M.3400/2000_02_0_en..pdf,itu/M.3208.1/1997_10_0_en..pdf,1
itu/M.3400/2000_02_0_en..pdf,itu/M.3211.1/1996_05_0_en..pdf,1
itu/M.3400/2000_02_0_en..pdf,itu/X.700/1992_09_0_en..pdf,1
itu/M.3400/2000_02_0_en..pdf,itu/X.701/1997_08_0_en..pdf,1
itu/M.3400/2000_02_0_en..pdf,itu/X.730/1992_01_0_en..pdf,1
itu/M.3400/2000_02_0_en..pdf,itu/X.731/1992_01_0_en..pdf,2
itu/M.3400/2000_02_0_en..pdf,itu/X.732/1992_01_0_en..pdf,1
itu/M.3400/2000_02_0_en..pdf,itu/X.733/1992_02_0_en..pdf,1
itu/M.3400/2000_02_0_en..pdf,itu/X.734/1992_09_0_en..pdf,1
itu/M.3400/2000_02_0_en..pdf,itu/X.735/1992_09_0_en..pdf,1
itu/M.3400/2000_02_0_en..pdf,itu/X.736/1992_01_0_en..pdf,1
itu/M.3400/2000_02_0_en..pdf,itu/X.737/1995_11_0_en..pdf,1
itu/M.3400/2000_02_0_en..pdf,itu/X.738/1993_11_0_en..pdf,1
itu/M.3400/2000_02_0_en..pdf,itu/X.739/1993_11_0_en..pdf,1
itu/M.3400/2000_02_0_en..pdf,itu/X.740/1992_09_0_en..pdf,1
itu/M.3400/2000_02_0_en..pdf,itu/X.741/1995_04_0_en..pdf,1
itu/M.3400/2000_02_0_en..pdf,itu/X.742/1995_04_0_en..pdf,1
itu/M.3400/2000_02_0_en..pdf,itu/X.745/1993_11_0_en..pdf,1
itu/M.3400/2000_02_0_en..pdf,itu/X.800/1991_03_0_en..pdf,2
itu/M.3400/2000_02_0_en..pdf,iso/s014258_iso_iec_7498-4_1989e.zip,1
itu/M.3400/2000_02_0_en..pdf,ISOStandard: 10040,1
itu/M.3400/2000_02_0_en..pdf,ISOStandard: 10164-1,1
itu/M.3400/2000_02_0_en..pdf,ISOStandard: 10164-2,1
itu/M.3400/2000_02_0_en..pdf,ISOStandard: 10164-3,1
itu/M.3400/2000_02_0_en..pdf,ISOStandard: 10164-4,1
itu/M.3400/2000_02_0_en..pdf,ISOStandard: 10164-5,1
itu/M.3400/2000_02_0_en..pdf,ISOStandard: 10164-6,1
itu/M.3400/2000_02_0_en..pdf,ISOStandard: 10164-7,1
itu/M.3400/2000_02_0_en..pdf,ISOStandard: 10164-14,1
itu/M.3400/2000_02_0_en..pdf,ISOStandard: 10164-13,1
itu/M.3400/2000_02_0_en..pdf,ISOStandard: 10164-11,1
itu/M.3400/2000_02_0_en..pdf,ISOStandard: 10164-8,1
itu/M.3400/2000_02_0_en..pdf,ISOStandard: 10164-9,1
itu/M.3400/2000_02_0_en..pdf,ISOStandard: 10164-10,1
itu/M.3400/2000_02_0_en..pdf,ISOStandard: 10164-12,1
itu/M.3400/2000_02_0_en..pdf,ISOStandard: 7498-2,1
itu/M.20/1992_10_0_en..pdf,itu/M.20/1992_10_0_en..pdf,1
itu/M.20/1992_10_0_en..pdf,itu/Q.22/1988_11_0_en..pdf,1
itu/M.20/1992_10_0_en..pdf,itu/G.821/1988_11_1_en..pdf,1
itu/M.20/1992_10_0_en..pdf,itu/G.752/1988_11_0_en..pdf,1
itu/M.20/1992_10_0_en..pdf,itu/G.704/1991_04_1_en..pdf,1
itu/M.20/1992_10_0_en..pdf,itu/G.732/1988_11_0_en..pdf,1
itu/M.20/1992_10_0_en..pdf,itu/G.733/1988_11_0_en..pdf,1
itu/M.20/1992_10_0_en..pdf,itu/M.60/1988_11_1_en..pdf,1
itu/M.20/1992_10_0_en..pdf,itu/M.70/1988_11_0_en..pdf,1
itu/M.20/1992_10_0_en..pdf,itu/M.710/1988_11_0_en..pdf,1
itu/M.20/1992_10_0_en..pdf,itu/M.80/1988_11_0_en..pdf,1
itu/M.20/1992_10_0_en..pdf,itu/M.90/1988_11_0_en..pdf,1
itu/M.20/1992_10_0_en..pdf,itu/M.21/1992_10_0_en..pdf,1
itu/M.20/1992_10_0_en..pdf,itu/M.3010/1992_10_1_en..pdf,1
itu/M.20/1992_10_0_en..pdf,itu/M.2100/1992_10_1_en..pdf,1
itu/M.20/1992_10_0_en..pdf,itu/M.34/1988_11_0_en..pdf,1
itu/M.20/1992_10_0_en..pdf,itu/M.4030/1992_10_0_en..pdf,1
itu/M.20/1992_10_0_en..pdf,itu/M.4100/1988_11_1_en..pdf,1
itu/M.20/1992_10_0_en..pdf,itu/M.2110/1992_10_1_en..pdf,1
itu/M.20/1992_10_0_en..pdf,itu/M.1550/1992_10_0_en..pdf,1
itu/M.20/1992_10_0_en..pdf,itu/M.1560/1992_10_0_en..pdf,1
itu/M.20/1992_10_0_en..pdf,ITURecommendation: M.1000,1
itu/M.3000/2000_02_0_en..pdf,itu/M.3100/1995_07_1_en..pdf,2
itu/M.3000/2000_02_0_en..pdf,itu/M.3020/2000_02_1_en..pdf,1
itu/M.3010/2000_02_0_en..pdf,itu/X.700/1992_09_0_en..pdf,1
itu/M.3010/2000_02_0_en..pdf,itu/X.701/1997_08_0_en..pdf,1
itu/M.3010/2000_02_0_en..pdf,itu/X.703/1997_10_0_en..pdf,3
itu/M.3010/2000_02_0_en..pdf,itu/X.724/1996_10_0_en..pdf,6
itu/M.3010/2000_02_0_en..pdf,itu/X.720/1992_01_0_en..pdf,4
itu/M.3010/2000_02_0_en..pdf,itu/X.725/1995_11_0_en..pdf,1
itu/M.3010/2000_02_0_en..pdf,itu/X.290/1995_04_0_en..pdf,2
itu/M.3010/2000_02_0_en..pdf,itu/M.3013/2000_02_0_en..pdf,1
itu/M.3010/2000_02_0_en..pdf,itu/M.3020/2000_02_1_en..pdf,1
itu/M.3010/2000_02_0_en..pdf,itu/M.3200/1997_04_0_en..pdf,1
itu/M.3010/2000_02_0_en..pdf,itu/M.3400/2000_02_0_en..pdf,2
itu/M.3010/2000_02_0_en..pdf,itu/Q.811/1997_06_1_en..pdf,4
itu/M.3010/2000_02_0_en..pdf,itu/Q.812/1997_06_1_en..pdf,3
itu/M.3010/2000_02_0_en..pdf,itu/X.200/1994_07_0_en..pdf,1
itu/M.3010/2000_02_0_en..pdf,ITURecommendation: Q.82,1
itu/M.3010/2000_02_0_en..pdf,itu/M.3000/2000_02_0_en..pdf,1
itu/M.3010/2000_02_0_en..pdf,itu/M.32/1988_11_0_en..pdf,1
itu/M.3010/2000_02_0_en..pdf,ISOStandard: 10040,1
itu/M.3010/2000_02_0_en..pdf,ISOStandard: 13244,1
itu/M.3010/2000_02_0_en..pdf,ISOStandard: 10165-6,1
itu/M.3010/2000_02_0_en..pdf,ISOStandard: 10165-1,1
itu/M.3010/2000_02_0_en..pdf,ISOStandard: 10165-7,1
itu/M.3010/2000_02_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,1
itu/M.3020/2000_02_1_en..pdf,itu/M.3020/2000_02_1_en..pdf,2
itu/M.3020/2000_02_1_en..pdf,itu/M.3400/2000_02_0_en..pdf,5
itu/M.3020/2000_02_1_en..pdf,itu/M.3010/2000_02_0_en..pdf,1
itu/M.3020/2000_02_1_en..pdf,itu/M.3200/1997_04_0_en..pdf,4
itu/M.3020/2000_02_1_en..pdf,itu/M.3208.1/1997_10_0_en..pdf,8
itu/M.3020/2000_02_1_en..pdf,itu/X.680/1997_12_1_en..pdf,1
itu/M.3020/2000_02_1_en..pdf,itu/Z.100/1999_11_1_en..pdf,1
itu/M.3020/2000_02_1_en..pdf,itu/Q.812/1997_06_1_en..pdf,1
itu/M.3020/2000_02_1_en..pdf,itu/X.722/1992_01_0_en..pdf,3
itu/M.3020/2000_02_1_en..pdf,itu/M.3100/1995_07_1_en..pdf,2
