source,target,source_color,target_color
ITU M.3400,ITU M.3400,#7C43B5,#7C43B5
ITU M.3400,ITU M.3010,#7C43B5,#7C43B5
ITU M.3400,ITU M.3020,#7C43B5,#7C43B5
ITU M.3400,ITU M.3000,#7C43B5,#7C43B5
ITU M.3400,ITU M.3100,#7C43B5,#7C43B5
ITU M.3400,ITU M.3180,#7C43B5,#7C43B5
ITU M.3400,ITU M.3200,#7C43B5,#7C43B5
ITU M.3400,ITU M.20,#7C43B5,#7C43B5
ITU M.3400,ITU M.3208.1,#7C43B5,#7C43B5
ITU M.3400,ITU M.3211.1,#7C43B5,#7C43B5
ITU M.3400,ITU X.700,#7C43B5,#7C43B5
ITU M.3400,ITU X.701,#7C43B5,#7C43B5
ITU M.3400,ITU X.730,#7C43B5,#7C43B5
ITU M.3400,ITU X.731,#7C43B5,#7C43B5
ITU M.3400,ITU X.732,#7C43B5,#7C43B5
ITU M.3400,ITU X.733,#7C43B5,#7C43B5
ITU M.3400,ITU X.734,#7C43B5,#7C43B5
ITU M.3400,ITU X.735,#7C43B5,#7C43B5
ITU M.3400,ITU X.736,#7C43B5,#7C43B5
ITU M.3400,ITU X.737,#7C43B5,#7C43B5
ITU M.3400,ITU X.738,#7C43B5,#7C43B5
ITU M.3400,ITU X.739,#7C43B5,#7C43B5
ITU M.3400,ITU X.740,#7C43B5,#7C43B5
ITU M.3400,ITU X.741,#7C43B5,#7C43B5
ITU M.3400,ITU X.742,#7C43B5,#7C43B5
ITU M.3400,ITU X.745,#7C43B5,#7C43B5
ITU M.3400,ITU X.800,#7C43B5,#7C43B5
ITU M.3400,ISO 7498-4,#7C43B5,#7C43B5
ITU M.3400,ISO 10040,#7C43B5,#7C43B5
ITU M.3400,ISO 10164-1,#7C43B5,#7C43B5
ITU M.3400,ISO 10164-2,#7C43B5,#7C43B5
ITU M.3400,ISO 10164-3,#7C43B5,#7C43B5
ITU M.3400,ISO 10164-4,#7C43B5,#7C43B5
ITU M.3400,ISO 10164-5,#7C43B5,#7C43B5
ITU M.3400,ISO 10164-6,#7C43B5,#7C43B5
ITU M.3400,ISO 10164-7,#7C43B5,#7C43B5
ITU M.3400,ISO 10164-14,#7C43B5,#7C43B5
ITU M.3400,ISO 10164-13,#7C43B5,#7C43B5
ITU M.3400,ISO 10164-11,#7C43B5,#7C43B5
ITU M.3400,ISO 10164-8,#7C43B5,#7C43B5
ITU M.3400,ISO 10164-9,#7C43B5,#7C43B5
ITU M.3400,ISO 10164-10,#7C43B5,#7C43B5
ITU M.3400,ISO 10164-12,#7C43B5,#7C43B5
ITU M.3400,ISO 7498-2,#7C43B5,#7C43B5
ITU M.20,ITU M.20,#7C43B5,#7C43B5
ITU M.20,ITU Q.22,#7C43B5,#7C43B5
ITU M.20,ITU G.821,#7C43B5,#7C43B5
ITU M.20,ITU G.752,#7C43B5,#7C43B5
ITU M.20,ITU G.704,#7C43B5,#7C43B5
ITU M.20,ITU G.732,#7C43B5,#7C43B5
ITU M.20,ITU G.733,#7C43B5,#7C43B5
